booking_id,booking_date,booking_time,day_of_week,is_weekend,hour_of_day,city,pickup_location,drop_location,vehicle_type,ride_distance_km,estimated_ride_time_min,actual_ride_time_min,traffic_level,weather_condition,base_fare,surge_multiplier,booking_value,booking_status,incomplete_ride_reason,customer_id,driver_id
B_000011,2025-07-08,14:44:00,Tuesday,0,14,Bangalore,Loc_27,Loc_37,Auto,5.51,16.52,,Low,Heavy Rain,106.09,1.6,174.77,Cancelled,,C_010000,D_002623
B_000012,2025-10-25,21:57:00,Saturday,1,21,Hyderabad,Loc_13,Loc_27,Bike,13.76,41.29,46.08,Low,Heavy Rain,130.11,1.6,210.88,Completed,,C_000307,D_000140
B_000013,2025-06-01,11:31:00,Sunday,1,11,Chennai,Loc_4,Loc_4,Bike,6.63,43.78,,High,Heavy Rain,73.07,2.0,145.2,Cancelled,,C_003895,D_004755
B_000014,2025-06-24,18:21:00,Tuesday,0,18,Hyderabad,Loc_36,Loc_5,Cab,21.5,141.91,158.56,High,Heavy Rain,467.03,2.3,1053.55,Completed,,C_003207,D_000024
B_000015,2025-11-10,18:23:00,Monday,0,18,Bangalore,Loc_23,Loc_46,Auto,18.31,82.37,90.45,Medium,Rain,259.66,1.8,448.06,Completed,,C_004645,D_003120
B_000016,2025-07-08,00:57:00,Tuesday,0,0,Mumbai,Loc_39,Loc_44,Cab,20.23,91.02,104.15,Medium,Heavy Rain,444.06,1.8,837.43,Completed,,C_003025,D_004547
B_000017,2025-06-25,10:57:00,Wednesday,0,10,Hyderabad,Loc_16,Loc_50,Bike,23.63,155.97,161.01,High,Rain,209.06,2.0,427.82,Completed,,C_009310,D_001865
B_000018,2025-11-29,07:44:00,Saturday,1,7,Delhi,Loc_4,Loc_31,Bike,6.58,29.59,35.37,Medium,Rain,72.6,1.5,103.64,Completed,,C_003332,D_000868
B_000019,2025-11-19,12:08:00,Wednesday,0,12,Delhi,Loc_29,Loc_1,Auto,2.17,14.32,15.03,High,Rain,66.03,1.7,116.98,Completed,,C_004347,D_002353
B_000020,2025-10-16,22:40:00,Thursday,0,22,Chennai,Loc_14,Loc_14,Auto,7.98,35.92,38.36,Medium,Clear,135.78,1.2,165.99,Completed,,C_009440,D_004878
B_000021,2025-02-12,14:07:00,Wednesday,0,14,Bangalore,Loc_18,Loc_24,Cab,10.58,69.82,,High,Heavy Rain,270.43,2.0,551.13,Cancelled,,C_000558,D_002190
B_000022,2025-06-03,16:23:00,Tuesday,0,16,Bangalore,Loc_2,Loc_26,Auto,16.0,48.01,,Low,Heavy Rain,232.05,1.6,354.7,Cancelled,,C_000592,D_004261
B_000023,2025-05-27,02:35:00,Tuesday,0,2,Chennai,Loc_12,Loc_12,Cab,20.14,60.43,68.54,Low,Clear,442.61,1.0,464.67,Completed,,C_009222,D_004674
B_000024,2025-04-25,19:22:00,Friday,0,19,Bangalore,Loc_41,Loc_12,Cab,9.4,42.28,44.93,Medium,Clear,249.12,1.5,364.92,Completed,,C_002622,D_004063
B_000025,2025-03-24,22:20:00,Monday,0,22,Hyderabad,Loc_13,Loc_26,Cab,12.36,37.09,37.33,Low,Rain,302.55,1.3,392.27,Completed,,C_001837,D_001426
B_000026,2025-03-09,23:54:00,Sunday,1,23,Chennai,Loc_18,Loc_11,Bike,19.85,89.33,95.65,Medium,Clear,178.81,1.2,213.26,Completed,,C_004795,D_003084
B_000027,2025-12-06,11:09:00,Saturday,1,11,Bangalore,Loc_24,Loc_21,Auto,6.41,42.29,48.7,High,Clear,116.89,1.4,163.84,Completed,,C_004282,D_001327
B_000028,2025-02-01,14:57:00,Saturday,1,14,Mumbai,Loc_28,Loc_2,Auto,6.21,27.95,25.62,Medium,Clear,114.53,1.2,132.21,Completed,,C_006811,D_002773
B_000029,2025-12-09,16:41:00,Tuesday,0,16,Mumbai,Loc_40,Loc_28,Bike,15.14,99.93,,High,Heavy Rain,141.13,2.0,282.43,Cancelled,,C_001210,D_004254
B_000030,2025-09-14,05:49:00,Sunday,1,5,Hyderabad,Loc_24,Loc_18,Bike,11.47,51.59,56.42,Medium,Rain,111.72,1.5,167.04,Completed,,C_001687,D_001790
B_000031,2025-02-08,12:41:00,Saturday,1,12,Chennai,Loc_30,Loc_46,Auto,23.77,106.98,99.16,Medium,Heavy Rain,325.28,1.8,573.22,Completed,,C_002629,D_002007
B_000032,2025-06-10,03:55:00,Tuesday,0,3,Hyderabad,Loc_9,Loc_39,Auto,9.57,63.15,65.18,High,Heavy Rain,154.82,2.0,319.07,Completed,,C_004581,D_002941
B_000033,2025-02-04,19:40:00,Tuesday,0,19,Mumbai,Loc_3,Loc_10,Cab,19.23,86.53,,Medium,Heavy Rain,426.13,2.1,862.29,Incomplete,Driver Delay,C_001817,D_003170
B_000034,2025-12-30,05:05:00,Tuesday,0,5,Delhi,Loc_41,Loc_30,Auto,14.99,67.47,79.84,Medium,Rain,219.93,1.5,344.93,Completed,,C_000440,D_000844
B_000035,2025-06-03,11:31:00,Tuesday,0,11,Delhi,Loc_33,Loc_29,Auto,2.31,10.39,11.87,Medium,Rain,67.72,1.5,98.15,Completed,,C_004987,D_001796
B_000036,2025-06-01,22:18:00,Sunday,1,22,Delhi,Loc_1,Loc_3,Cab,3.03,19.97,,High,Rain,134.45,1.7,229.49,Cancelled,,C_000875,D_003527
B_000037,2025-06-13,04:03:00,Friday,0,4,Bangalore,Loc_26,Loc_48,Auto,5.88,17.63,17.94,Low,Heavy Rain,110.51,1.6,173.25,Completed,,C_007887,D_002769
B_000038,2025-04-15,01:50:00,Tuesday,0,1,Mumbai,Loc_4,Loc_25,Bike,4.44,29.28,,High,Clear,55.49,1.4,81.29,Cancelled,,C_004122,D_002562
B_000039,2025-12-07,04:30:00,Sunday,1,4,Bangalore,Loc_37,Loc_35,Bike,8.9,58.77,56.66,High,Clear,91.24,1.4,125.61,Completed,,C_007873,D_000444
B_000040,2025-11-19,12:48:00,Wednesday,0,12,Chennai,Loc_45,Loc_22,Bike,14.9,98.31,106.62,High,Rain,139.17,1.7,235.8,Completed,,C_002480,D_002585
B_000041,2025-11-15,08:29:00,Saturday,1,8,Mumbai,Loc_34,Loc_1,Auto,15.46,46.37,52.5,Low,Clear,225.48,1.3,286.81,Completed,,C_003459,D_004403
B_000042,2025-04-14,00:32:00,Monday,0,0,Delhi,Loc_37,Loc_48,Bike,15.11,67.98,80.11,Medium,Heavy Rain,140.85,1.8,256.21,Completed,,C_002130,D_004842
B_000043,2025-10-08,04:19:00,Wednesday,0,4,Hyderabad,Loc_39,Loc_19,Auto,3.82,17.2,18.91,Medium,Rain,85.87,1.5,126.5,Completed,,C_003007,D_003992
B_000044,2025-01-30,06:52:00,Thursday,0,6,Bangalore,Loc_9,Loc_27,Auto,15.41,46.22,41.66,Low,Rain,224.86,1.3,303.61,Completed,,C_007478,D_003578
B_000045,2025-07-05,21:54:00,Saturday,1,21,Chennai,Loc_46,Loc_20,Cab,10.83,48.75,,Medium,Rain,275.01,1.5,412.29,Incomplete,App Issue,C_006734,D_003496
B_000046,2025-05-04,05:46:00,Sunday,1,5,Hyderabad,Loc_45,Loc_43,Cab,22.67,102.03,107.37,Medium,Rain,488.12,1.5,736.16,Completed,,C_008077,D_002924
B_000047,2025-02-16,05:47:00,Sunday,1,5,Chennai,Loc_1,Loc_24,Cab,22.89,151.06,,High,Rain,491.98,1.7,818.94,Cancelled,,C_003806,D_001025
B_000048,2025-05-26,09:00:00,Monday,0,9,Bangalore,Loc_14,Loc_21,Cab,19.44,87.46,101.41,Medium,Heavy Rain,429.85,2.1,865.7,Completed,,C_005338,D_003725
B_000049,2025-12-26,05:37:00,Friday,0,5,Mumbai,Loc_11,Loc_6,Bike,17.87,117.97,,High,Heavy Rain,163.0,2.0,326.32,Cancelled,,C_008485,D_003782
B_000050,2025-04-13,13:14:00,Sunday,1,13,Bangalore,Loc_34,Loc_34,Cab,3.76,11.28,11.54,Low,Clear,147.66,1.0,141.35,Completed,,C_003663,D_002171
B_000051,2025-05-29,20:53:00,Thursday,0,20,Chennai,Loc_22,Loc_10,Cab,3.03,9.1,9.04,Low,Clear,134.59,1.3,169.42,Completed,,C_009176,D_000848
B_000052,2025-01-12,18:16:00,Sunday,1,18,Mumbai,Loc_12,Loc_16,Cab,21.18,95.31,,Medium,Rain,461.24,1.8,856.52,Cancelled,,C_009674,D_001340
B_000053,2025-02-16,05:51:00,Sunday,1,5,Delhi,Loc_7,Loc_44,Bike,11.25,33.75,32.76,Low,Clear,109.99,1.0,110.2,Completed,,C_000368,D_002478
B_000054,2025-02-15,17:57:00,Saturday,1,17,Bangalore,Loc_2,Loc_22,Bike,11.83,35.5,34.0,Low,Clear,114.66,1.3,153.69,Completed,,C_005789,D_002294
B_000055,2025-01-20,11:45:00,Monday,0,11,Mumbai,Loc_23,Loc_3,Bike,21.35,96.06,87.41,Medium,Rain,190.78,1.5,280.94,Completed,,C_002857,D_004886
B_000056,2025-12-04,05:22:00,Thursday,0,5,Hyderabad,Loc_13,Loc_21,Bike,15.91,105.03,107.72,High,Heavy Rain,147.31,2.0,308.1,Completed,,C_004915,D_001565
B_000057,2025-09-02,18:20:00,Tuesday,0,18,Bangalore,Loc_40,Loc_24,Auto,5.31,15.92,,Low,Rain,103.67,1.6,160.34,Cancelled,,C_009023,D_001547
B_000058,2025-10-26,18:03:00,Sunday,1,18,Chennai,Loc_36,Loc_16,Cab,6.06,18.19,,Low,Clear,189.16,1.3,246.19,Incomplete,Customer No-show,C_006660,D_004723
B_000059,2025-12-29,00:18:00,Monday,0,0,Chennai,Loc_50,Loc_22,Bike,1.15,7.61,8.9,High,Rain,29.22,1.7,47.72,Completed,,C_007582,D_002539
B_000060,2025-09-02,19:58:00,Tuesday,0,19,Bangalore,Loc_25,Loc_10,Auto,18.06,81.25,,Medium,Heavy Rain,256.67,2.1,515.37,Incomplete,Vehicle Issue,C_003769,D_003048
B_000061,2025-05-10,02:08:00,Saturday,1,2,Bangalore,Loc_4,Loc_23,Auto,12.65,56.95,66.49,Medium,Rain,191.86,1.5,291.26,Completed,,C_007958,D_003351
B_000062,2025-12-02,07:57:00,Tuesday,0,7,Mumbai,Loc_18,Loc_49,Cab,23.8,107.1,99.54,Medium,Clear,508.38,1.2,594.67,Completed,,C_001197,D_000482
B_000063,2025-03-20,10:19:00,Thursday,0,10,Mumbai,Loc_40,Loc_26,Auto,18.14,81.61,,Medium,Clear,257.64,1.5,385.06,Incomplete,Driver Delay,C_004023,D_002408
B_000064,2025-07-28,00:05:00,Monday,0,0,Hyderabad,Loc_16,Loc_28,Cab,3.48,22.94,22.64,High,Clear,142.56,1.4,201.4,Completed,,C_001153,D_000806
B_000065,2025-10-11,19:05:00,Saturday,1,19,Hyderabad,Loc_32,Loc_28,Auto,4.88,21.95,23.95,Medium,Clear,98.52,1.5,145.2,Completed,,C_007597,D_004757
B_000066,2025-02-28,06:51:00,Friday,0,6,Delhi,Loc_42,Loc_35,Cab,13.04,58.69,60.3,Medium,Rain,314.75,1.5,494.62,Completed,,C_001587,D_003303
B_000067,2025-06-04,23:46:00,Wednesday,0,23,Chennai,Loc_13,Loc_26,Cab,23.2,104.39,121.21,Medium,Rain,497.55,1.5,742.12,Completed,,C_003307,D_000453
B_000068,2025-04-30,08:51:00,Wednesday,0,8,Hyderabad,Loc_36,Loc_4,Auto,6.93,20.8,20.77,Low,Rain,123.21,1.6,194.96,Completed,,C_000867,D_000097
B_000069,2025-09-15,22:23:00,Monday,0,22,Bangalore,Loc_22,Loc_9,Auto,20.81,93.66,,Medium,Clear,289.77,1.2,346.53,Incomplete,Driver Delay,C_005472,D_001155
B_000070,2025-08-31,02:12:00,Sunday,1,2,Delhi,Loc_11,Loc_39,Auto,8.49,38.23,44.84,Medium,Rain,141.93,1.5,203.15,Completed,,C_006130,D_001681
B_000071,2025-04-20,19:49:00,Sunday,1,19,Delhi,Loc_17,Loc_7,Cab,7.48,33.65,39.37,Medium,Rain,214.6,1.8,370.74,Completed,,C_008678,D_001058
B_000072,2025-12-18,19:27:00,Thursday,0,19,Delhi,Loc_29,Loc_3,Bike,22.63,67.9,79.16,Low,Heavy Rain,201.07,1.9,398.61,Completed,,C_001008,D_004831
B_000073,2025-12-21,05:57:00,Sunday,1,5,Hyderabad,Loc_35,Loc_41,Cab,2.13,14.08,14.98,High,Rain,118.41,1.7,192.98,Completed,,C_003367,D_000318
B_000074,2025-08-25,13:34:00,Monday,0,13,Mumbai,Loc_21,Loc_16,Bike,16.86,111.26,105.86,High,Clear,154.86,1.4,213.65,Completed,,C_006199,D_002908
B_000075,2025-08-01,02:11:00,Friday,0,2,Chennai,Loc_11,Loc_40,Cab,2.04,6.11,5.57,Low,Clear,116.65,1.0,117.13,Completed,,C_008755,D_000442
B_000076,2025-09-10,07:18:00,Wednesday,0,7,Delhi,Loc_12,Loc_46,Cab,20.22,133.44,,High,Rain,443.93,1.7,739.9,Incomplete,Customer No-show,C_009469,D_000170
B_000077,2025-03-07,03:49:00,Friday,0,3,Mumbai,Loc_6,Loc_26,Bike,20.91,137.98,,High,Heavy Rain,187.25,2.0,375.33,Cancelled,,C_007380,D_003379
B_000078,2025-03-01,04:01:00,Saturday,1,4,Delhi,Loc_28,Loc_9,Cab,22.44,100.98,106.56,Medium,Clear,483.93,1.2,608.64,Completed,,C_001101,D_003892
B_000079,2025-03-26,19:05:00,Wednesday,0,19,Chennai,Loc_27,Loc_40,Bike,5.47,36.08,38.45,High,Rain,63.73,2.0,125.05,Completed,,C_002818,D_002979
B_000080,2025-12-23,22:13:00,Tuesday,0,22,Hyderabad,Loc_28,Loc_15,Bike,3.99,17.95,,Medium,Rain,51.9,1.5,74.34,Cancelled,,C_006034,D_001703
B_000081,2025-09-15,02:14:00,Monday,0,2,Chennai,Loc_41,Loc_35,Cab,13.08,86.36,,High,Heavy Rain,315.53,2.0,651.03,Cancelled,,C_005503,D_002557
B_000082,2025-01-21,02:18:00,Tuesday,0,2,Chennai,Loc_2,Loc_20,Auto,7.52,49.63,45.25,High,Clear,130.23,1.4,189.65,Completed,,C_008374,D_001886
B_000083,2025-10-31,09:35:00,Friday,0,9,Hyderabad,Loc_28,Loc_42,Auto,15.55,46.65,,Low,Rain,226.61,1.6,351.95,Cancelled,,C_008789,D_004790
B_000084,2025-01-18,05:39:00,Saturday,1,5,Delhi,Loc_1,Loc_10,Auto,13.33,59.98,,Medium,Rain,199.96,1.5,286.01,Incomplete,Customer No-show,C_008983,D_001390
B_000085,2025-09-27,19:03:00,Saturday,1,19,Delhi,Loc_9,Loc_13,Cab,4.48,29.54,,High,Rain,160.58,2.0,334.04,Cancelled,,C_009893,D_002927
B_000086,2025-10-12,17:41:00,Sunday,1,17,Chennai,Loc_26,Loc_46,Cab,18.74,84.34,76.46,Medium,Heavy Rain,417.36,2.1,834.25,Completed,,C_001811,D_001025
B_000087,2025-09-28,22:04:00,Sunday,1,22,Chennai,Loc_2,Loc_7,Auto,20.29,91.31,87.29,Medium,Clear,283.49,1.2,342.69,Completed,,C_008191,D_001898
B_000088,2025-10-24,12:43:00,Friday,0,12,Hyderabad,Loc_43,Loc_34,Cab,24.11,159.15,,High,Heavy Rain,514.03,2.0,1071.76,Incomplete,Driver Delay,C_007036,D_002313
B_000089,2025-07-31,09:51:00,Thursday,0,9,Bangalore,Loc_43,Loc_21,Auto,10.49,47.22,45.53,Medium,Clear,165.92,1.5,256.66,Completed,,C_001072,D_002355
B_000090,2025-07-04,05:12:00,Friday,0,5,Hyderabad,Loc_46,Loc_25,Bike,9.11,60.1,,High,Rain,92.85,1.7,156.92,Cancelled,,C_008921,D_003374
B_000091,2025-03-01,18:06:00,Saturday,1,18,Chennai,Loc_41,Loc_37,Auto,5.61,25.26,22.87,Medium,Heavy Rain,107.37,2.1,233.21,Completed,,C_000141,D_004753
B_000092,2025-12-13,18:55:00,Saturday,1,18,Chennai,Loc_16,Loc_15,Auto,5.34,35.25,,High,Clear,104.09,1.7,176.5,Incomplete,Driver Delay,C_004361,D_001387
B_000093,2025-10-30,01:32:00,Thursday,0,1,Delhi,Loc_46,Loc_34,Bike,8.71,26.12,30.83,Low,Rain,89.64,1.3,116.06,Completed,,C_008856,D_002590
B_000094,2025-03-20,02:42:00,Thursday,0,2,Hyderabad,Loc_16,Loc_39,Auto,24.56,162.12,,High,Rain,334.76,1.7,560.17,Incomplete,Driver Delay,C_001809,D_001338
B_000095,2025-04-22,06:20:00,Tuesday,0,6,Mumbai,Loc_34,Loc_49,Auto,3.21,9.64,9.61,Low,Rain,78.57,1.3,99.2,Completed,,C_007657,D_000875
B_000096,2025-07-20,17:46:00,Sunday,1,17,Delhi,Loc_49,Loc_15,Auto,7.22,47.68,54.6,High,Heavy Rain,126.7,2.3,285.39,Completed,,C_000527,D_003606
B_000097,2025-12-23,06:06:00,Tuesday,0,6,Bangalore,Loc_19,Loc_48,Bike,3.06,9.19,9.48,Low,Rain,44.51,1.3,58.93,Completed,,C_007703,D_002608
B_000098,2025-08-15,04:14:00,Friday,0,4,Delhi,Loc_35,Loc_6,Bike,7.57,22.7,,Low,Heavy Rain,80.54,1.6,133.44,Cancelled,,C_000415,D_001647
B_000099,2025-08-09,20:25:00,Saturday,1,20,Chennai,Loc_50,Loc_4,Bike,3.22,14.48,13.57,Medium,Heavy Rain,45.74,2.1,96.94,Completed,,C_003897,D_003855
B_000100,2025-09-08,01:19:00,Monday,0,1,Chennai,Loc_49,Loc_44,Cab,13.2,39.6,38.77,Low,Rain,317.59,1.3,420.27,Completed,,C_003150,D_003770
B_000101,2025-12-31,22:04:00,Wednesday,0,22,Bangalore,Loc_19,Loc_27,Cab,11.52,34.56,36.45,Low,Rain,287.37,1.3,380.48,Completed,,C_007983,D_000620
B_000102,2025-09-05,02:00:00,Friday,0,2,Chennai,Loc_5,Loc_32,Cab,5.18,34.17,35.71,High,Clear,173.19,1.4,248.57,Completed,,C_007393,D_000899
B_000103,2025-12-02,06:44:00,Tuesday,0,6,Bangalore,Loc_36,Loc_5,Auto,5.2,34.29,,High,Rain,102.34,1.7,180.65,Incomplete,Driver Delay,C_002191,D_002403
B_000104,2025-10-08,18:05:00,Wednesday,0,18,Chennai,Loc_43,Loc_15,Cab,16.03,105.78,104.65,High,Heavy Rain,368.48,2.3,836.01,Completed,,C_006446,D_000015
B_000105,2025-11-13,03:56:00,Thursday,0,3,Mumbai,Loc_14,Loc_12,Auto,10.29,67.92,,High,Heavy Rain,163.49,2.0,317.89,Cancelled,,C_005923,D_004397
B_000106,2025-09-17,15:18:00,Wednesday,0,15,Mumbai,Loc_39,Loc_43,Cab,2.35,10.57,10.43,Medium,Clear,122.28,1.2,147.34,Completed,,C_004383,D_000504
B_000107,2025-01-19,10:52:00,Sunday,1,10,Chennai,Loc_44,Loc_6,Auto,23.08,69.25,67.39,Low,Clear,317.02,1.3,421.16,Completed,,C_006654,D_000206
B_000108,2025-01-16,03:15:00,Thursday,0,3,Chennai,Loc_25,Loc_19,Cab,10.72,32.16,34.92,Low,Clear,272.94,1.0,273.34,Completed,,C_009750,D_001247
B_000109,2025-04-16,05:01:00,Wednesday,0,5,Delhi,Loc_16,Loc_11,Cab,15.19,68.33,62.37,Medium,Clear,353.33,1.2,423.19,Completed,,C_005662,D_002915
B_000110,2025-05-08,08:51:00,Thursday,0,8,Chennai,Loc_28,Loc_48,Bike,22.25,146.85,169.3,High,Clear,198.0,1.7,331.08,Completed,,C_009001,D_004202
B_000111,2025-05-15,18:23:00,Thursday,0,18,Chennai,Loc_17,Loc_21,Bike,10.65,31.96,38.24,Low,Clear,105.21,1.3,139.59,Completed,,C_008302,D_000496
B_000112,2025-08-09,00:31:00,Saturday,1,0,Mumbai,Loc_40,Loc_45,Cab,20.7,93.13,,Medium,Rain,452.53,1.5,664.7,Incomplete,Customer No-show,C_002634,D_004023
B_000113,2025-02-09,08:57:00,Sunday,1,8,Bangalore,Loc_33,Loc_27,Bike,22.95,68.86,70.79,Low,Rain,203.63,1.6,339.84,Completed,,C_008754,D_001241
B_000114,2025-09-23,15:49:00,Tuesday,0,15,Bangalore,Loc_1,Loc_31,Bike,5.18,34.17,34.44,High,Heavy Rain,61.42,2.0,117.6,Completed,,C_007279,D_004276
B_000115,2025-07-20,11:03:00,Sunday,1,11,Delhi,Loc_47,Loc_2,Bike,22.42,147.97,,High,Rain,199.36,1.7,328.81,Cancelled,,C_003776,D_004586
B_000116,2025-09-11,14:22:00,Thursday,0,14,Chennai,Loc_11,Loc_29,Bike,3.88,11.63,11.63,Low,Rain,51.01,1.3,64.88,Completed,,C_005411,D_003942
B_000117,2025-12-27,04:22:00,Saturday,1,4,Mumbai,Loc_20,Loc_27,Bike,7.6,22.81,20.76,Low,Clear,80.82,1.0,79.3,Completed,,C_004228,D_001760
B_000118,2025-12-29,20:29:00,Monday,0,20,Delhi,Loc_45,Loc_46,Cab,20.4,61.19,65.95,Low,Heavy Rain,447.15,1.9,832.12,Completed,,C_006115,D_001498
B_000119,2025-03-19,07:04:00,Wednesday,0,7,Hyderabad,Loc_36,Loc_42,Cab,22.62,101.77,91.78,Medium,Heavy Rain,487.1,1.8,901.02,Completed,,C_003102,D_003600
B_000120,2025-07-13,23:13:00,Sunday,1,23,Mumbai,Loc_23,Loc_32,Cab,17.42,78.39,85.21,Medium,Rain,393.55,1.5,566.7,Completed,,C_009384,D_002820
B_000121,2025-03-02,12:01:00,Sunday,1,12,Delhi,Loc_24,Loc_26,Bike,3.52,15.82,14.32,Medium,Clear,48.13,1.2,55.32,Completed,,C_008165,D_002139
B_000122,2025-04-11,21:31:00,Friday,0,21,Mumbai,Loc_33,Loc_24,Auto,13.55,89.44,99.08,High,Clear,202.62,1.4,278.43,Completed,,C_000013,D_004443
B_000123,2025-11-25,16:46:00,Tuesday,0,16,Mumbai,Loc_47,Loc_18,Auto,14.74,97.31,103.08,High,Clear,216.92,1.4,314.4,Completed,,C_006349,D_002155
B_000124,2025-02-09,02:41:00,Sunday,1,2,Bangalore,Loc_40,Loc_17,Cab,7.76,51.25,54.2,High,Clear,219.76,1.4,306.93,Completed,,C_002382,D_004132
B_000125,2025-12-10,23:49:00,Wednesday,0,23,Mumbai,Loc_10,Loc_8,Cab,24.79,163.62,,High,Clear,526.24,1.4,732.84,Incomplete,Driver Delay,C_004438,D_002853
B_000126,2025-01-29,10:49:00,Wednesday,0,10,Delhi,Loc_18,Loc_43,Cab,9.06,27.17,,Low,Rain,242.99,1.6,399.73,Cancelled,,C_009046,D_003144
B_000127,2025-12-20,14:54:00,Saturday,1,14,Delhi,Loc_9,Loc_37,Auto,6.05,27.21,25.67,Medium,Rain,112.55,1.5,170.84,Completed,,C_009393,D_002618
B_000128,2025-01-16,06:48:00,Thursday,0,6,Chennai,Loc_21,Loc_28,Bike,3.64,24.05,,High,Rain,49.15,1.7,87.21,Cancelled,,C_007811,D_002303
B_000129,2025-10-21,19:24:00,Tuesday,0,19,Mumbai,Loc_43,Loc_38,Auto,10.08,30.25,28.8,Low,Clear,161.01,1.3,202.79,Completed,,C_004580,D_003512
B_000130,2025-04-16,01:27:00,Wednesday,0,1,Delhi,Loc_7,Loc_17,Auto,17.62,79.3,80.25,Medium,Clear,251.47,1.2,297.74,Completed,,C_004716,D_000902
B_000131,2025-07-24,14:01:00,Thursday,0,14,Delhi,Loc_4,Loc_22,Bike,6.55,29.49,27.41,Medium,Rain,72.43,1.5,104.1,Completed,,C_006918,D_004505
B_000132,2025-01-07,11:38:00,Tuesday,0,11,Hyderabad,Loc_18,Loc_50,Cab,19.47,87.61,,Medium,Heavy Rain,430.44,1.8,811.4,Incomplete,Driver Delay,C_009407,D_000473
B_000133,2025-11-08,08:25:00,Saturday,1,8,Delhi,Loc_19,Loc_41,Auto,4.25,19.12,,Medium,Heavy Rain,91.0,2.1,183.81,Cancelled,,C_008055,D_003768
B_000134,2025-11-02,12:25:00,Sunday,1,12,Delhi,Loc_34,Loc_17,Auto,11.57,52.07,,Medium,Heavy Rain,178.85,1.8,336.74,Cancelled,,C_004557,D_000415
B_000135,2025-12-18,19:15:00,Thursday,0,19,Bangalore,Loc_9,Loc_47,Cab,17.86,53.57,,Low,Rain,401.43,1.6,654.54,Cancelled,,C_005112,D_003284
B_000136,2025-03-12,07:13:00,Wednesday,0,7,Delhi,Loc_48,Loc_46,Bike,4.25,12.74,,Low,Rain,53.98,1.3,68.19,Cancelled,,C_007015,D_003835
B_000137,2025-12-20,14:03:00,Saturday,1,14,Bangalore,Loc_23,Loc_5,Cab,15.35,69.07,66.95,Medium,Clear,356.27,1.2,423.77,Completed,,C_008797,D_001621
B_000138,2025-01-15,15:06:00,Wednesday,0,15,Hyderabad,Loc_17,Loc_42,Cab,20.17,90.79,,Medium,Clear,443.15,1.2,517.64,Cancelled,,C_005029,D_004795
B_000139,2025-12-15,10:33:00,Monday,0,10,Delhi,Loc_45,Loc_20,Bike,15.29,100.93,101.03,High,Clear,142.35,1.7,245.57,Completed,,C_004895,D_002817
B_000140,2025-01-05,00:37:00,Sunday,1,0,Chennai,Loc_19,Loc_12,Auto,13.28,59.74,63.21,Medium,Clear,199.3,1.2,247.48,Completed,,C_004984,D_000203
B_000141,2025-09-11,02:17:00,Thursday,0,2,Chennai,Loc_29,Loc_7,Cab,21.12,63.36,,Low,Heavy Rain,460.15,1.6,718.68,Cancelled,,C_006142,D_003469
B_000142,2025-12-02,01:35:00,Tuesday,0,1,Delhi,Loc_4,Loc_45,Bike,24.65,162.69,175.37,High,Heavy Rain,217.2,2.0,414.18,Completed,,C_006988,D_003935
